record_id,expense_date,employee_id,currency,amount,description
ACME-00001,2026-05-01,EMP-1042,USD,125.50,Business lunch
ACME-00002,2026-05-02,EMP-2317,EUR,89.00,Taxi fare
ACME-00003,2026-05-03,EMP-3891,BRL,340.00,Hotel stay
ACME-00004,2026-05-04,EMP-1042,USD,25.00,Parking fee
ACME-00005,2026-05-05,EMP-4456,GBP,210.00,Conference registration
ACME-00006,2026-05-06,EMP-2317,USD,47.80,Office supplies
ACME-00007,2026-05-07,EMP-3891,EUR,580.00,Flight ticket
ACME-00008,2026-05-08,EMP-5012,USD,95.00,Client dinner
ACME-00009,2026-05-09,EMP-1042,USD,12.50,Taxi fare
ACME-00010,2026-05-10,EMP-4456,USD,199.00,Software subscription
